term,current_treatment,verdict,rationale
intracellular non-membrane-bounded organelle,DISCARD,correct,GO cellular-component parent term (GO:0043232) covering the whole MLO domain; carries no compartment identity.
protein-containing complex,DISCARD,correct,"GO:0032991, the most general complex term; not a compartment."
ribonucleoprotein complex,DISCARD,correct,"GO:1990904; a molecular-assembly class, not a specific MLO. Correct to discard rather than route to cytoplasmic_rnp_granule, which would assert a localisation the term does not carry."
obsolete cytoskeletal part,DISCARD,correct,Obsolete GO term; no biological content.
Microtubule / cytoplasmic microtubule,DISCARD,correct,"Polymeric cytoskeletal filaments, not phase-separated compartments."
Arp2/3 protein complex,DISCARD,correct,Stoichiometric protein complex; outside the MLO definition.
PcG protein complex,DISCARD,review,"PRC1/PRC2 are stoichiometric complexes and correctly discarded as such, but polycomb_body exists as a canonical and the discard should record that the body-forming case is captured elsewhere."
extracellular matrix / collagen-containing extracellular matrix,DISCARD,correct,"Extracellular polymer networks, not intracellular condensates. Note this leaves exosomal_condensate as the only Extracelular member."
neuron projection,DISCARD,correct,"Cellular region (axon/dendrite), not a compartment."
protein complex involved in cell-cell adhesion,DISCARD,correct,GO complex term; adhesion condensates are captured by integrin_adhesion_complex and zo_protein_compartment where the source states them.
synaptosome,DISCARD,correct,"A biochemical fractionation artefact (pinched-off nerve terminal), not an in-vivo compartment. Correct and worth stating explicitly, since it is a frequent contaminant of proteomic MLO datasets."
"synaptosome, neuron projection",DISCARD,error,"Compound label discarded as one token, and its Categoria field holds the literal string 'NULL'. Same unexploded-compound defect as the mapped entries; should be split before the discard decision."
TRIM45 bodies,DISCARD,error,"Discarded despite being a genuine nuclear body (TRIM45 forms SUMO-dependent nuclear bodies), and the row still carries Categoria='Nuclear', contradicting its own discard. No annotation data reaches the database for it, so the discard is silent. Reinstate or document the reason."
NotInformed,canonical term in vocabulary,error,"A placeholder for missing localisation is stored as if it were a compartment, and it ranks 6th by assertions (1,217 proteins, 108 organisms, PhaSepDB only). 505 of those proteins have no other MLO annotation, so they exist in the database solely under a non-compartment label. Move to a NULL localisation field; keep the proteins, drop the pseudo-term."
in_vitro_droplet,canonical term in vocabulary,review,"Reconstituted droplets are an evidence type, not a cellular compartment; 142 of its 426 proteins have no in-vivo MLO annotation and 99% carry the driver role, so this term is effectively an in-vitro LLPS-propensity list. Preferable as an evidence-tier flag on the annotation rather than a compartment. Kept as a term it is defensible only if the category 'In vitro' is documented as non-anatomical."
synthetic_condensate,"mapping target, absent from vocabulary",correct,"386 engineered-construct names routed to a target that is deliberately not served. The exclusion is right; the mapping file should mark it as a discard class alongside DISCARD rather than as a canonical, so the two exclusion mechanisms are not confused."
NULL (empty / 'Others' / '_'),mapping target,review,"Three source labels ('Others' twice, '_') map to a canonical literally named NULL, which is neither in the vocabulary nor in the DISCARD class. A third, undocumented exclusion path."
