unified_mlo,issue,severity,proposal
(schema-wide),"Nine different structural suffixes are used with no defined semantics: condensate (44), body (42), granule (19), compartment (6), complex (5), foci (5), speckle (3), puncta (2), droplet (2). 'foci' and 'puncta' are microscopy descriptions, 'complex' implies stoichiometry, 'droplet' implies liquidity",high,"Define the suffix vocabulary: use the field-standard name where one exists; otherwise default to '_condensate'. Reserve '_complex' for stoichiometric assemblies (which mostly belong in DISCARD), and replace '_foci'/'_puncta' with '_body' or '_condensate' unless the plural focus form is the literature name (dna_damage_foci is)"
(schema-wide),"Number is inconsistent: 5 terms are plural (dna_damage_foci, hyperosmotic_shock_foci, mutator_foci, proteasome_foci, simr_foci) while 165 are singular",medium,Singular by default; keep the plural only where the literature name is plural (dna_damage_foci)
(schema-wide),"13 terms are named after a single protein (bag2_condensate, ddx1_body, kat6a_condensate, sup35_condensate, tdp43_nuclear_condensate, ...). Protein-named terms conflate 'a condensate containing X' with 'the compartment X defines'",medium,"Acceptable where the protein defines the structure (sam68_nuclear_body, morc3_nuclear_body are established names). For the rest, verify that the source is describing a compartment rather than a protein's phase behaviour; several are candidates for the in-vitro evidence tier"
cytoplasmic_protein_granule vs cytoplasmic_rnp_granule,Two canonicals differing only by 'protein' vs 'rnp' receive case variants of the same source label; the distinction is not operationalised anywhere,high,"Merge into cytoplasmic_rnp_granule with an rna_dependent flag, or define the discriminating criterion explicitly"
in_vitro_droplet,Names an evidence condition as if it were a compartment; the only term using '_droplet' besides ftsz_droplet,high,Remove as a canonical; represent as evidence_type on the annotation
NotInformed,"CamelCase placeholder in an otherwise snake_case vocabulary, and not a compartment at all",critical,Remove; represent missing localisation as NULL
ftsz_droplet,'_droplet' implies in-vitro liquidity; FtsZ condensates are described in vivo,low,Rename to ftsz_condensate
spindle_pole_body,Fungal-specific name receiving 872 mostly-metazoan proteins via the compound label 'Centrosome/Spindle pole body',critical,Split the compound label by organism before the term can be trusted; see equivalence_verdicts.csv
sex_body,"Name is used for a term whose curation note describes the Barr body, while the actual sex body (XY body) proteins sit in heterochromatin",critical,Create xy_body for the meiotic structure; create barr_body if the Xi concept is wanted; correct the sex_body definition
chromatin_compartment,Absorbs euchromatin while heterochromatin is a separate canonical; the name suggests a parent term but behaves as a sibling,medium,"Either make chromatin_compartment an explicit parent with heterochromatin/euchromatin as children, or create euchromatin as a sibling"
signaling_condensate / signaling_cluster,"Two generic signalling terms with no stated boundary; 12 source names route to the first, and it receives 5 conflicting categories",medium,Define the boundary (cluster = membrane receptor clustering; condensate = cytoplasmic signalosome) or merge
mesh_condensate,Uninformative name; 3 proteins,low,Rename to the literature name or retire
