ledger_id,tipo,veredicto,afirmacion,evidencia,accion_recomendada,prioridad,medido_sobre
R1-INT-02,respuesta,confirmado,"Su rechazo de R1-INT-02 se sostiene: los roles contradictorios dentro de PhaSepDB son experimentos distintos, no un conflicto a resolver","SELECT uniprot_id,unified_mlo FROM mlo_annotations WHERE source_db=PhaSepDB GROUP BY 1,2 HAVING COUNT(DISTINCT unified_role)>1 -> 214 tripletas, 182 proteinas. Coincide exactamente con su cifra. Con evidence_type las dos filas dejan de ser contradictorias: cellular_localisation y cellular_requirement son afirmaciones distintas sobre la misma proteina",-,baja,dfc00f2
R1-ROL-02,respuesta,confirmado,"El 42,4% de filas sin rol se reproduce y su explicacion del origen es exacta","COUNT(*) WHERE unified_role IS NULL = 15.233 de 35.968 = 42,4%. CDCODE 13.844 + source_role=Regulator 1.389 = 15.233 exactamente, sin residuo. La ausencia esta enteramente determinada por el recurso",-,baja,dfc00f2
R1-ROL-07,respuesta,confirmado,"El 18,8% de drivers proviene de recursos que solo emiten driver, con la particion que ustedes dan","COUNT(*) WHERE unified_role=driver AND source_db IN (LLPSDB,PhasePro) = 577 de 3.068 = 18,8%; LLPSDB 380 y PhasePro 197. evidence_type=in_vitro_llps los marca, pero marcar no es ponderar: un driver in vitro y un driver celular siguen sumando igual en cualquier conteo",-,media,dfc00f2
R1-ROL-05,respuesta,objetado,"La tabla de QC de acuerdo de roles no equivale a la tabla (source_db, source_role) desde la que definieron evidence_type: la primera muestra un patron que la segunda no puede mostrar","Matriz de acuerdo por pares de recursos sobre (uniprot_id, unified_mlo) compartidos, en rol_qc_matrix.csv: DrLLPS-LLPSDB 98/98 = 1,000; PhaSepDB-PhasePro cellular_requirement vs in_vitro_llps 79/79 = 1,000; DrLLPS-PhaSepDB cellular_localisation 1.434/1.530 = 0,937; DrLLPS-PhaSepDB cellular_requirement 80/208 = 0,385; PhaSepDB cellular_localisation vs PhasePro in_vitro_llps 0/35 = 0,000. El desacuerdo no esta distribuido: se concentra en los pares donde PhaSepDB afirma localizacion y el otro recurso afirma requerimiento","Publicar rol_qc_matrix.csv como tabla de QC junto a evidence_type. Las 35 filas del par con acuerdo 0,000 son el caso de prueba obligatorio de cualquier regla de precedencia futura",media,dfc00f2
R1-INT-04,respuesta,confirmado,Los PMIDs son de fila y se heredan al explotar; la marca en la UI sigue pendiente y hay 40 canonicos que dependen de un unico PMID,"SELECT unified_mlo FROM mlo_annotations WHERE evidence IS NOT NULL GROUP BY 1 HAVING COUNT(DISTINCT evidence)=1 -> 40 canonicos. Detalle por canonico en int04_pmid_por_canonico.csv. Ninguna fila de CDCODE lleva evidence (0 de 13.844), asi que la marca solo puede computarse sobre los recursos que si lo emiten",-,media,dfc00f2
,nuevo,nuevo,Las dos etiquetas de postsynaptic_density de CD-CODE son disjuntas entre si y ambas estan casi totalmente contenidas en la etiqueta de DrLLPS,"CDCODE Postsynaptic density (1.483 proteinas) y CDCODE Presynaptic clusters and postsynaptic density (1.366) tienen interseccion 0, Jaccard 0. Su union (2.849) esta 99,1% contenida en DrLLPS Postsynaptic density (2.859); Jaccard(union, DrLLPS) = 0,979. La redundancia no es entre las dos etiquetas de CD-CODE sino de CD-CODE hacia DrLLPS","Al retirar synaptic_compartment, medir la perdida de cobertura real contra DrLLPS y no contra la otra etiqueta de CD-CODE: la redundancia es casi total y el conteo de proteinas unicas de postsynaptic_density no deberia moverse",media,dfc00f2
,nuevo,nuevo,La corroboracion entre recursos que respalda la etiqueta sinaptica compuesta no es curacion independiente: es un unico dataset proteomico,"1.307 de las 1.353 filas de DrLLPS que respaldan la etiqueta llevan PMID 23071613, y 916 lo llevan como unico PMID. 23071613 = Bayes et al. 2012, proteoma postsinaptico humano y de raton por espectrometria de masas. Ese PMID aparece en 3.336 filas de la base, todas de DrLLPS, 2.776 en postsynaptic_density",No tratar la coincidencia DrLLPS-CDCODE en el compartimento sinaptico como evidencia de dos fuentes: es el mismo experimento reexportado. Es un caso de la marca de bajo soporte documental de R1-INT-04,alta,dfc00f2
,nuevo,nuevo,"La definicion de regulador invisible admite dos lecturas con cifras muy distintas, y la que ustedes usan es la mas restrictiva","Con su definicion (proteina sin ninguna fila con dataset_active=1): 502 proteinas, p_body 253 y stress_granule 164, que reproduce sus cifras. Con la definicion alternativa (proteina sin ninguna anotacion con unified_role no nulo): 541 proteinas / 717 anotaciones / 28 MLOs, de las cuales 50 filas si estan activas. Mis 429 y 418 de la ronda 2 eran filas Regulator por MLO sobre las 977, no proteinas: su correccion es correcta","Fijar la definicion en el libro. Las 502 son las que desaparecen del dataset servido; las 39 adicionales de la otra lectura estan servidas pero sin rol, que es un problema distinto",baja,dfc00f2
R1-INT-09,respuesta,adjudicado,"RNA polymerase II, holoenzyme: el canonico y el mapeo son correctos, lo que sobra es una fila duplicada, no la etiqueta","La etiqueta aporta 2 filas a transcriptional_condensate (220 filas / 163 proteinas): P24928 (POLR2A humana) y P11831 (RPB2 de levadura), ambas con PMID 30127355 = Boehning et al. 2018, agrupamiento del CTD de Pol II por separacion de fases. La misma pareja de proteinas ya entra a transcriptional_condensate desde otra etiqueta del mismo recurso con el mismo PMID y el mismo rol, asi que el soporte esta contado dos veces. Detalle en int09_pol2_holoenzyme.csv","Conservar transcriptional_condensate y el mapeo; eliminar la fila duplicada. Generaliza: 121 grupos (uniprot_id, unified_mlo, source_db, evidence, unified_role) con mas de una fila, 123 filas estrictamente removibles en toda la base, listadas en duplicados_intra_recurso.csv",media,dfc00f2
,nuevo,nuevo,"Hay 123 filas estrictamente duplicadas dentro de un mismo recurso que inflan el soporte aparente de 121 pares (proteina, canonico)","GROUP BY uniprot_id, unified_mlo, source_db, evidence, unified_role HAVING COUNT(*)>1 -> 121 grupos, 123 filas removibles sin perder ninguna afirmacion. Son el mecanismo general del que R1-INT-09 es un caso","Agregar una restriccion UNIQUE sobre esa tupla, o un paso de deduplicacion al final del pipeline. Cualquier conteo de soporte por proteina esta hoy inflado en esos 121 pares",media,dfc00f2
R2-ADJ-batch,respuesta,adjudicado,"Los 53 casos de revision quedan adjudicados por juicio biologico sobre genes y organismos: 32 correctos, 9 correctos pero sobregenerales, 12 errores","batch53_evidence.csv reune para cada caso los genes, organismos, PMIDs, roles y evidence_types de sus proteinas; batch53_adjudicated.csv da veredicto, razon y accion por caso, ordenados por proteinas afectadas y no alfabeticamente. Los de mayor volumen: Rapsn condensate -> postsynaptic_density (7 proteinas) es error; Row 1-specific tip complex condensates -> ankle_link_condensate (4) es correcto pero sobregeneral; SARS-CoV-2 condensate (4) es correcto",Aplicar los 12 errores y los 9 sobregenerales caso por caso segun la columna action; cerrar los 32 correctos,alta,dfc00f2
R2-ADJ-mitochondrial-cloud,respuesta,adjudicado,"Mitochondrial cloud -> balbiani_body es correcto, y el caso es 100% Xenopus laevis, no 99,3%","598 filas / 598 proteinas, todas de CDCODE y todas en balbiani_body. 594 tienen organism=Xenopus laevis en la tabla proteins; las 4 restantes (B7ZPG0 zar1.S, Q66J40, Q66KY6, Q7ZXW4) tienen organism NULL en proteins pero resuelven a Xenopus laevis en UniProt. La nube mitocondrial del ovocito de Xenopus es el cuerpo de Balbiani: mismo organulo, dos nombres",-,baja,dfc00f2
R2-ADJ-germ-granule,respuesta,adjudicado,Germ granule -> p_granule es correcto para el nucleo de Drosophila pero tres filas de pez cebra pertenecen a balbiani_body,"14 filas / 14 proteinas: osk, vas, tej, spn-E, me31B, pcm, smg, DCP1 de Drosophila melanogaster (granulo polar canonico); buc, rbpms2b, tdrd6 de Danio rerio; DDX3X y DDX4 humanas. Bucky ball y Tdrd6 son los organizadores del cuerpo de Balbiani del ovocito de pez, no del granulo P","Mover las 3 filas de Danio rerio (buc, rbpms2b, tdrd6) a balbiani_body, que es donde ya viven las etiquetas Mitochondrial cloud y mitochondrial cloud. Conservar el resto en p_granule",media,dfc00f2
