source_name,current_unified_mlo,source_db,proteins,annotations,target_total_proteins,share_of_target,tier,genes,n_genes,organisms,n_organisms,pmids,n_pmids,evidence_types,roles,original_rationale
Rapsn condensate,postsynaptic_density,CDCODE,7,7,2956,0.002,4_low_impact,DAG1|ACTN1|CAPN2|CHRNA1|CHRNB1|RAPSN|MACF1,7,Homo sapiens:7,1,,0,membership_only,ninguno,Rapsyn clusters acetylcholine receptors at the neuromuscular junction postsynapse; the NMJ postsynaptic apparatus is structurally distinct from the CNS PSD.
Row 1-specific tip complex condensates,ankle_link_condensate,CDCODE,4,4,8,0.5,3_small_but_dominates_target,GPSM2|EPS8|MYO15A|WHRN,4,Homo sapiens:4,1,,0,membership_only,ninguno,Hair-cell tip-link and ankle-link complexes are distinct stereociliary adhesion structures at different positions along the bundle.
SARS-CoV-2 condensate,sars_cov2_n_condensate,CDCODE,4,4,10,0.4,3_small_but_dominates_target,N|rep|G3BP1,3,Severe acute respiratory syndrome coronavirus 2:3|Homo sapiens:1,2,,0,membership_only,ninguno,"Generic label; SARS-CoV-2 forms N-protein, ORF8 and NSP condensates. Assigning the generic term to the N-specific canonical over-commits."
Translational Condensate,cytoplasmic_rnp_granule,CDCODE,4,4,61,0.066,4_low_impact,EAP1|PAN2|TIF1|STO1,4,Saccharomyces cerevisiae (strain ATCC 204508 / S288c):4,1,,0,membership_only,ninguno,Generic functional label; could equally denote stress granules or neuronal transport granules. Ambiguous source term rather than a wrong merge.
SCOTIN condensate,eres_condensate,CDCODE,3,3,10,0.3,3_small_but_dominates_target,SEC31A|SEC13|SHISA5,3,Homo sapiens:3,1,,0,membership_only,ninguno,SCOTIN/SHISA5 is an ER transmembrane p53 target; its condensates are not established as ER exit sites.
HIV core condensate,viral_factory,CDCODE,3,3,45,0.067,4_low_impact,gag,1,Human immunodeficiency virus type 1:2|Human immunodeficiency virus type 1 group M subtype B (isolate WMJ22):1,2,,0,membership_only,ninguno,The HIV-1 capsid core is a proteinaceous shell that traffics the genome; describing it as a viral factory conflates a virion component with a replication compartment.
RPSA-VIM-ENO Condensate,viral_factory,CDCODE,3,3,45,0.067,4_low_impact,RPSA|eno|VIM,3,Homo sapiens:2|Streptococcus suis (strain 98HAH33):1,2,,0,membership_only,ninguno,"Host ribosomal/cytoskeletal/glycolytic proteins; assignment to a viral factory rests on the source's experimental context, not on the label."
Cytoplasmic bodies,cytoplasmic_protein_granule,CDCODE,3,3,18,0.167,4_low_impact,TRIM32|TRIM5|TRIM63,3,Homo sapiens:3,1,,0,membership_only,ninguno,"Fully generic label with no compositional commitment; could denote P-bodies, stress granules or aggregates."
HIV-1-MLO,viral_factory,PhaSepDB,3,3,45,0.067,4_low_impact,Cpsf6|gag|RT,3,Mus musculus:1|Human immunodeficiency virus type 1 group O (isolate ANT70):1|Human immunodeficiency virus type 1:1,3,34605568|36001979|39623137,3,cellular_requirement,driver,"Uninformative source label; HIV-1 forms several distinct condensates (capsid, Gag assembly, Rev). Cannot be verified as a factory from the name."
NONO,paraspeckle,CDCODE,3,3,273,0.011,4_low_impact,Vgll3|Nono|Ewsr1,3,Mus musculus:3,1,,0,membership_only,ninguno,"Source label names a protein or complex, not a compartment. Mapping it to paraspeckle asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field."
+TIP,spindle_apparatus,CDCODE,3,3,89,0.034,4_low_impact,KIF2C|MAPRE1|MTUS2,3,Homo sapiens:3,1,,0,membership_only,ninguno,"Source label names a protein or complex, not a compartment. Mapping it to spindle_apparatus asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field."
Mimi granules,neuronal_granule,CDCODE,3,3,118,0.025,4_low_impact,RanBPM|fne|stau,3,Drosophila melanogaster:3,1,,0,membership_only,ninguno,Ambiguous label; 'Mimi' suggests mimivirus rather than a neuronal granule.
