source_name,current_unified_mlo,source_db,proteins,annotations,target_total_proteins,share_of_target,original_rationale,tier,adjudication,action
Mitochondrial cloud,balbiani_body,CDCODE,598.0,598.0,887,0.674,"Defensible as a synonym in Xenopus (the mitochondrial cloud is the nascent Balbiani body), but the 598 Xenopus proteins now dominate balbiani_body and are a bulk proteomic dataset rather than curated residents. Keep the merge, flag the evidence tier.",1_high_volume,correct,Close as correct; no publication lookup needed
Receptor cluster,signaling_cluster,DrLLPS|PhaSepDB,24.0,24.0,38,0.632,Fully generic label; covers any clustered receptor including the T-cell and integrin cases handled by dedicated canonicals.,2_moderate,split_needed,Do not keep as one term; either split by pathway or discard as too generic
Leucocyte nuclear body,nuclear_body,CDCODE,21.0,21.0,242,0.087,"A cell-type-qualified nuclear body with 21 proteins; absorbing it into the generic nuclear_body class loses the qualifier without gaining evidence, since no source annotates the generic term at that resolution.",2_moderate,correct_but_overgeneral,Keep the nuclear_body mapping; record leucocyte as cell_type_context once that axis exists
Germ granule,p_granule,CDCODE,14.0,14.0,707,0.02,'Germ granule' is the pan-species class term; P granules are the C. elegans instance. Mapping the class onto one species' instance inverts the hierarchy — the same conflation the dossier avoids elsewhere.,2_moderate,correct,Close as correct
Peri-nucleolar condensate,perinucleolar_compartment,CDCODE,6.0,6.0,8,0.75,Hyphenated variant may denote the PNC proper or any perinucleolar assembly; 6 proteins vs 1 for the exact term suggests the variant carries most of the evidence.,3_small_but_dominates_target,review_still_needed,"Likely wrong: the 4 yeast rows probably belong to a protein-quality-control term, not perinucleolar_compartment"
PCBP2 condensates,signaling_condensate,CDCODE,5.0,5.0,15,0.333,PCBP2 is an RNA-binding protein; its condensates are usually described as RNP granules or MAVS-regulatory assemblies.,3_small_but_dominates_target,error,"Reassign to cytoplasmic_rnp_granule or p_body, not signaling_condensate"
SARS-CoV-2 condensate,sars_cov2_n_condensate,CDCODE,4.0,4.0,10,0.4,"Generic label; SARS-CoV-2 forms N-protein, ORF8 and NSP condensates. Assigning the generic term to the N-specific canonical over-commits.",3_small_but_dominates_target,pending,
Row 1-specific tip complex condensates,ankle_link_condensate,CDCODE,4.0,4.0,8,0.5,Hair-cell tip-link and ankle-link complexes are distinct stereociliary adhesion structures at different positions along the bundle.,3_small_but_dominates_target,pending,
SCOTIN condensate,eres_condensate,CDCODE,3.0,3.0,10,0.3,SCOTIN/SHISA5 is an ER transmembrane p53 target; its condensates are not established as ER exit sites.,3_small_but_dominates_target,pending,
Euchromatin,chromatin_compartment,CDCODE,2.0,2.0,5,0.4,Same as the lowercase variant.,3_small_but_dominates_target,pending,
eukaryotic topoisomerase ii,chromatin_compartment,CDCODE,2.0,2.0,5,0.4,"Source label names a protein or complex, not a compartment. Mapping it to chromatin_compartment asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field.",3_small_but_dominates_target,pending,
euchromatin,chromatin_compartment,PhasePro,2.0,2.0,5,0.4,Euchromatin and heterochromatin are opposite chromatin states; a single chromatin_compartment canonical that absorbs euchromatin while heterochromatin is separate is internally inconsistent.,3_small_but_dominates_target,pending,
Enzyme_shell proteins condensates,carboxysome,CDCODE,2.0,2.0,5,0.4,"Generic description of shell-plus-cargo architecture that also fits other bacterial microcompartments (metabolosomes, encapsulin); assigning it to carboxysome specifically is an over-commitment on 2 proteins.",3_small_but_dominates_target,pending,
RISC complex,mirisc,PhasePro,2.0,2.0,2,1.0,"RISC covers both siRNA- and miRNA-loaded complexes; mapping the general term to the miRNA-specific canonical loses the siRNA branch, which has its own sirna_body canonical.",3_small_but_dominates_target,discard_candidate,"Send to the discard review, not to mirisc"
Nuclear poly(A) domains,maternal_mrna_condensate,CDCODE,1.0,1.0,2,0.5,"Nuclear poly(A) RNA domains are speckle-associated retention sites, not specifically maternal mRNA storage.",3_small_but_dominates_target,pending,
YBX1 condensate,exosomal_condensate,CDCODE,1.0,1.0,2,0.5,YBX1 condensates are described both as exosomal sorting hubs and as cytoplasmic stress-granule-related assemblies.,3_small_but_dominates_target,pending,
Fus1 condensate,fusion_focus,CDCODE,1.0,1.0,1,1.0,Fus1 is a fission-yeast fusion-focus formin scaffold; the fusion focus is a mating structure distinct from cell-polarity condensates.,3_small_but_dominates_target,pending,
Rapsn condensate,postsynaptic_density,CDCODE,7.0,7.0,2956,0.002,Rapsyn clusters acetylcholine receptors at the neuromuscular junction postsynapse; the NMJ postsynaptic apparatus is structurally distinct from the CNS PSD.,4_low_impact,pending,
+TIP body,spindle_apparatus,CDCODE,6.0,6.0,89,0.067,"Plus-end tracking protein bodies form on microtubule tips generally, not only on spindle microtubules; interphase +TIP condensates would be misfiled.",4_low_impact,correct,Close as correct; consider a microtubule_plus_end term if granularity is wanted
ORC1 bodies,replication_compartment,CDCODE,5.0,5.0,21,0.238,"ORC1 bodies (ORC1 with CBX5/SUV39H1/DNMT1/EZH2) are heterochromatin-licensing foci at replication origins, not the viral/nuclear replication compartments that dominate this canonical. Closer to heterochromatin or a dedicated origin-licensing term.",4_low_impact,review_still_needed,Likely belongs to a heterochromatin/silencing term rather than replication_compartment
Translational Condensate,cytoplasmic_rnp_granule,CDCODE,4.0,4.0,61,0.066,Generic functional label; could equally denote stress granules or neuronal transport granules. Ambiguous source term rather than a wrong merge.,4_low_impact,pending,
Cytoplasmic bodies,cytoplasmic_protein_granule,CDCODE,3.0,3.0,18,0.167,"Fully generic label with no compositional commitment; could denote P-bodies, stress granules or aggregates.",4_low_impact,pending,
NEDD4 condensates,hippo_condensate,CDCODE,3.0,3.0,16,0.188,NEDD4 ubiquitinates LATS1 and other Hippo components but is a promiscuous E3 ligase; assigning its condensates to the Hippo canonical over-commits.,4_low_impact,pending,
Mimi granules,neuronal_granule,CDCODE,3.0,3.0,118,0.025,Ambiguous label; 'Mimi' suggests mimivirus rather than a neuronal granule.,4_low_impact,pending,
