source_name,current_unified_mlo,source_db,proteins,annotations,target_total_proteins,share_of_target,tier,genes,n_genes,organisms,n_organisms,pmids,n_pmids,evidence_types,roles,original_rationale,adjudication,reason,action
Rapsn condensate,postsynaptic_density,CDCODE,7,7,2956,0.002,4_low_impact,DAG1|ACTN1|CAPN2|CHRNA1|CHRNB1|RAPSN|MACF1,7,Homo sapiens:7,1,,0,membership_only,ninguno,Rapsyn clusters acetylcholine receptors at the neuromuscular junction postsynapse; the NMJ postsynaptic apparatus is structurally distinct from the CNS PSD.,error,"DAG1, CHRNA1, CHRNB1, RAPSN, ACTN1, MACF1 son componentes de la union NEUROMUSCULAR (aparato postsinaptico del musculo esqueletico, agrupamiento del receptor nicotinico por rapsina), no de la densidad postsinaptica del SNC. postsynaptic_density en esta base es la PSD glutamatergica, con 5.844 filas dominadas por el proteoma de Bayes",Reasignar a un canonico propio (p.ej. neuromuscular_junction_postsynapse) o marcar para descarte; no dejarlo en postsynaptic_density
Row 1-specific tip complex condensates,ankle_link_condensate,CDCODE,4,4,8,0.5,3_small_but_dominates_target,GPSM2|EPS8|MYO15A|WHRN,4,Homo sapiens:4,1,,0,membership_only,ninguno,Hair-cell tip-link and ankle-link complexes are distinct stereociliary adhesion structures at different positions along the bundle.,correct_but_overgeneral,"GPSM2, EPS8, MYO15A, WHRN son el complejo de la punta del estereocilio de la celula ciliada (fila 1); las mutaciones en los cuatro dan sordera. ankle_link_condensate nombra el ANKLE LINK, una estructura distinta y basal del mismo estereocilio",El mapeo es de la estructura equivocada dentro del estereocilio: renombrar el canonico a stereocilia_tip_complex o crear ese termino; ankle_link_condensate queda con 4 de sus 8 filas
SARS-CoV-2 condensate,sars_cov2_n_condensate,CDCODE,4,4,10,0.4,3_small_but_dominates_target,N|rep|G3BP1,3,Severe acute respiratory syndrome coronavirus 2:3|Homo sapiens:1,2,,0,membership_only,ninguno,"Generic label; SARS-CoV-2 forms N-protein, ORF8 and NSP condensates. Assigning the generic term to the N-specific canonical over-commits.",correct,"N (nucleocapsid de SARS-CoV-2), rep y G3BP1 humano son exactamente los constituyentes descritos del condensado de N: N secuestra G3BP1. El mapeo a sars_cov2_n_condensate es el canonico correcto",Cerrar como correcto
Translational Condensate,cytoplasmic_rnp_granule,CDCODE,4,4,61,0.066,4_low_impact,EAP1|PAN2|TIF1|STO1,4,Saccharomyces cerevisiae (strain ATCC 204508 / S288c):4,1,,0,membership_only,ninguno,Generic functional label; could equally denote stress granules or neuronal transport granules. Ambiguous source term rather than a wrong merge.,correct_but_overgeneral,"EAP1, PAN2, TIF1 (eIF4A), STO1 (CBP80) de S. cerevisiae son factores de traduccion y deadenilacion; cytoplasmic_rnp_granule es el termino generico adecuado a falta de uno mejor, pero 'Translational Condensate' no nombra una estructura observada","Mantener el mapeo; anotar el termino fuente como descriptor funcional, no como organelo"
SCOTIN condensate,eres_condensate,CDCODE,3,3,10,0.3,3_small_but_dominates_target,SEC31A|SEC13|SHISA5,3,Homo sapiens:3,1,,0,membership_only,ninguno,SCOTIN/SHISA5 is an ER transmembrane p53 target; its condensates are not established as ER exit sites.,correct,SEC31A y SEC13 son componentes del COPII; SHISA5 (SCOTIN) es una proteina de reticulo. eres_condensate (ER exit site) es el compartimento correcto,Cerrar como correcto
HIV core condensate,viral_factory,CDCODE,3,3,45,0.067,4_low_impact,gag,1,Human immunodeficiency virus type 1:2|Human immunodeficiency virus type 1 group M subtype B (isolate WMJ22):1,2,,0,membership_only,ninguno,The HIV-1 capsid core is a proteinaceous shell that traffics the genome; describing it as a viral factory conflates a virion component with a replication compartment.,correct_but_overgeneral,"Las tres filas son gag de HIV-1. El core viral no es una fabrica viral: viral_factory agrupa sitios de replicacion. Pero HIV-1-MLO (mismo canonico) ya reune gag y RT, asi que el canonico es de facto 'condensado asociado a HIV'",Mantener el mapeo por ahora y unificar los tres terminos de HIV bajo un solo canonico explicito (hiv1_condensate) en la migracion de ejes
RPSA-VIM-ENO Condensate,viral_factory,CDCODE,3,3,45,0.067,4_low_impact,RPSA|eno|VIM,3,Homo sapiens:2|Streptococcus suis (strain 98HAH33):1,2,,0,membership_only,ninguno,"Host ribosomal/cytoskeletal/glycolytic proteins; assignment to a viral factory rests on the source's experimental context, not on the label.",error,"RPSA y VIM humanos mas eno de Streptococcus suis: es un complejo de adhesion bacteria-hospedador en la superficie celular, no un sitio de replicacion viral. viral_factory es incorrecto y ademas mezcla un patogeno bacteriano en un canonico viral",Sacarlo de viral_factory; marcar para descarte o crear un termino de agregado de superficie hospedador-patogeno
Cytoplasmic bodies,cytoplasmic_protein_granule,CDCODE,3,3,18,0.167,4_low_impact,TRIM32|TRIM5|TRIM63,3,Homo sapiens:3,1,,0,membership_only,ninguno,"Fully generic label with no compositional commitment; could denote P-bodies, stress granules or aggregates.",correct,"TRIM5, TRIM32 y TRIM63 forman los cuerpos citoplasmaticos TRIM descritos en la literatura; cytoplasmic_protein_granule es el generico correcto para ellos",Cerrar como correcto
HIV-1-MLO,viral_factory,PhaSepDB,3,3,45,0.067,4_low_impact,Cpsf6|gag|RT,3,Mus musculus:1|Human immunodeficiency virus type 1 group O (isolate ANT70):1|Human immunodeficiency virus type 1:1,3,34605568|36001979|39623137,3,cellular_requirement,driver,"Uninformative source label; HIV-1 forms several distinct condensates (capsid, Gag assembly, Rev). Cannot be verified as a factory from the name.",correct,"Cpsf6 de raton, gag y RT de HIV-1, con tres PMIDs y evidence_type=cellular_requirement: es el condensado nuclear de HIV que recluta CPSF6 en sitios de integracion. viral_factory es defendible",Cerrar como correcto; consolidar con los otros dos terminos de HIV
NONO,paraspeckle,CDCODE,3,3,273,0.011,4_low_impact,Vgll3|Nono|Ewsr1,3,Mus musculus:3,1,,0,membership_only,ninguno,"Source label names a protein or complex, not a compartment. Mapping it to paraspeckle asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field.",error,"El termino fuente es un NOMBRE DE GEN, no de estructura, y las tres filas son Vgll3, Nono y Ewsr1 de raton, de las cuales solo Nono es paraspeckle canonico. Un nombre de gen usado como etiqueta de organelo es un defecto de la fuente",Marcar para descarte como etiqueta; conservar la fila de Nono en paraspeckle si sobrevive por otra via
+TIP,spindle_apparatus,CDCODE,3,3,89,0.034,4_low_impact,KIF2C|MAPRE1|MTUS2,3,Homo sapiens:3,1,,0,membership_only,ninguno,"Source label names a protein or complex, not a compartment. Mapping it to spindle_apparatus asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field.",error,"KIF2C, MAPRE1 (EB1) y MTUS2 son proteinas de rastreo del extremo plus del microtubulo (+TIPs). El extremo plus no es el aparato del huso: los +TIP funcionan tambien en interfase. Ademas '+TIP body' del mismo recurso cae en el MISMO canonico con 6 filas, asi que el error afecta 9 filas de spindle_apparatus",Crear microtubule_plus_end y mover ahi '+TIP' y '+TIP body'; es la misma tarea que la sugerencia que ya hicieron para '+TIP body'
Mimi granules,neuronal_granule,CDCODE,3,3,118,0.025,4_low_impact,RanBPM|fne|stau,3,Drosophila melanogaster:3,1,,0,membership_only,ninguno,Ambiguous label; 'Mimi' suggests mimivirus rather than a neuronal granule.,correct,"RanBPM, fne y stau de Drosophila: stau (Staufen) y fne son proteinas de granulo de RNP neuronal. neuronal_granule es correcto",Cerrar como correcto
NEDD4 condensates,hippo_condensate,CDCODE,3,3,16,0.188,4_low_impact,NLK|YAP1|NEDD4,3,Homo sapiens:3,1,,0,membership_only,ninguno,NEDD4 ubiquitinates LATS1 and other Hippo components but is a promiscuous E3 ligase; assigning its condensates to the Hippo canonical over-commits.,correct,YAP1 y NLK son nucleo de la via Hippo y NEDD4 la ubiquitin-ligasa que regula YAP. hippo_condensate es el canonico correcto,Cerrar como correcto
membrane cluster,signaling_cluster,PhasePro,3,3,38,0.079,4_low_impact,NPHS1|WASL|NCK1,3,Homo sapiens:3,1,26553976,1,in_vitro_llps,driver,Generic membrane-clustering label with no signalling commitment in the source term.,correct_but_overgeneral,"NPHS1 (nefrina), NCK1 y WASL son el modulo nefrina-Nck-N-WASP, el sistema con el que Rosen definio el agrupamiento en membrana (PMID 26553976). signaling_cluster es correcto pero el termino fuente es puramente descriptivo",Mantener el mapeo; el eje de contexto deberia registrar 'nefrina/podocito'
53BP1 Mitotic Stress Body (MSBs),dna_damage_foci,CDCODE,3,3,63,0.048,4_low_impact,LMNA|RIF1|TP53BP1,3,Homo sapiens:3,1,,0,membership_only,ninguno,"MSBs are mitotic 53BP1 bodies that sequester unrepaired lesions through mitosis without recruiting repair machinery — deliberately repair-incompetent, unlike interphase damage foci. Related but not equivalent.",correct,"TP53BP1, RIF1 y LMNA: 53BP1 y RIF1 son el eje canonico de senalizacion de dano al DNA. dna_damage_foci es correcto",Cerrar como correcto
eukaryotic topoisomerase ii,chromatin_compartment,CDCODE,2,2,5,0.4,3_small_but_dominates_target,TOP2|TOP2A,2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c):1|Homo sapiens:1,2,,0,membership_only,ninguno,"Source label names a protein or complex, not a compartment. Mapping it to chromatin_compartment asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field.",error,"El termino fuente nombra una ENZIMA (TOP2 de levadura, TOP2A humana), no un compartimento. chromatin_compartment tiene 7 filas totales y 2 son estas, asi que un nombre de enzima ocupa el 29% del canonico",Marcar para descarte como etiqueta de organelo
Euchromatin,chromatin_compartment,CDCODE,2,2,5,0.4,3_small_but_dominates_target,CBX2,1,Gallus gallus:1|Homo sapiens:1,2,,0,membership_only,ninguno,Same as the lowercase variant.,correct,CBX2 de Gallus y humano. La eucromatina es un compartimento de cromatina y CBX2 forma condensados sobre cromatina; chromatin_compartment es correcto,"Cerrar como correcto; unificar con 'euchromatin' de PhasePro, que es la misma etiqueta con distinta capitalizacion"
