finding_id,severity,area,finding,evidence,biological_impact,recommended_action
INT-01,critical,ingestion,PhaSepDB ingested twice under tags PhaseDB and PhasePDB; annotation rows never deduplicated,"54,786 raw rows collapse to 36,139 distinct (protein, resource, MLO, role); 9,515 (protein, MLO) pairs present under both tags","Every per-MLO and per-source count in the dossier and in mlo_inventory.csv is inflated; a canonical reported by both tags is roughly double-counted, distorting relative MLO magnitudes",Collapse both tags to a single PhaSepDB resource at load time; regenerate all counts
INT-02,high,role model,"Within PhaSepDB the same (protein, MLO) receives contradictory roles from the two ingested exports","214 (protein, resource, MLO) triples carry both client and driver; 182 distinct proteins; concentrated in stress_granule (71), nucleolus (33), nuclear_speckle (28), p_body (26)",The same experimental evidence yields two different role claims; after deduplication a rule is needed to decide which wins. Silently keeping both means a protein is simultaneously driver and component of the same condensate,Define an explicit precedence rule (curated detail export outranks HT mlo_entries) and record the demoted claim rather than dropping it
INT-03,high,evidence,"CD-CODE evidence is the literal string 'NULL', not SQL NULL","13,853 rows have evidence = 'NULL' as text (13,851 CD-CODE + 2 others)",Any query filtering `evidence IS NOT NULL` counts these as having evidence; 25% of the dataset appears PMID-backed when it is not,Convert literal 'NULL' to SQL NULL and add a NOT NULL-aware coverage check to the test suite
INT-04,medium,evidence,PMIDs are row-level and inherited by compound-field explosion,"3,920 rows (9.6% of PMID-bearing rows) carry more than one PMID; 33 of 127 canonicals with PMID evidence rest on a single distinct PMID",A PMID on a row does not certify the specific protein-MLO pair; 33 canonicals are single-study entities whose existence in the vocabulary depends on one paper,"Flag single-PMID canonicals in the UI as low-evidence; document that evidence is source-row provenance, not assignment-level proof"
INT-05,medium,vocabulary,Three vocabulary entries have zero annotations,"adhesin_nanodomain, npr1_condensate, rosenthal_fiber: 0 rows in mlo_annotations",Empty terms in a controlled vocabulary suggest coverage that does not exist; they violate the project's own data-coverage rule,Remove from mlo_vocabulary or document as reserved terms awaiting a source
INT-06,medium,metadata,Vocabulary carries mapping_version 'v3' while the shipped mapping is v4,"All 170 mlo_vocabulary rows have mapping_version = 'v3'; v4 splits (spindle_pole_body, chromatoid_body, sex_body, simr_foci, mardo, axonal_tiar2_granule, wnt_destruction_complex) are all present in the data",Version metadata misreports the curation state; a reviewer or downstream user cannot tell which mapping revision produced a term,Stamp mapping_version = 'v4' at load; assert version consistency in the loader
INT-07,medium,curation file,Category assignment for canonicals with conflicting Categoria values is decided by file-read order,24 canonicals carry >1 distinct Categoria in mlo_mapping_curated.csv (dossier reports 23; exosomal_condensate Citoplasmatico/Extracelular is not listed). INSERT OR IGNORE keeps whichever row is read first,"The stored category for these 24 terms is arbitrary rather than curated, including biologically consequential cases (polarity_condensate, signaling_condensate with 5 competing categories)",Curate one category per canonical explicitly; make the loader fail on conflicting Categoria instead of silently ignoring
INT-08,low,curation file,Unescaped comma breaks CSV structure in one mapping row,Row 'axonal TIAR-2 granules' splits into 5 fields; the Justificacion Biologica text contains an unquoted comma,Naive parsers truncate or misalign the rationale; the PMID:31378567 justification is lost from the fourth column,Quote all free-text fields when exporting the mapping file
INT-09,low,normalisation,One compound source_mlo token survives explosion,"'RNA polymerase II, holoenzyme' (2 rows) still contains a comma separator",Minor: a machine complex name that is also a discard candidate remains as a single unexploded token,Confirm this is a single name (it is) and add it to the discard review rather than to the split rule
INT-10,critical,normalisation,"Annotation rows are one per supporting PMID, not one per protein-MLO assertion, contradicting the stated normalisation rule","14,000 rows violate the documented 'one row per (uniprot_id, source_db, source_mlo)' rule across 4,780 keys; in 95.2% of those keys the row count equals the number of distinct PMIDs (FUS/P35637 has 119 stress_granule rows in PhasePDB, one per paper). Collapsing PMIDs removes 9,220 rows before any tag deduplication","The 'annotations' column of the inventory conflates the number of protein-MLO assertions with the number of supporting publications. Well-studied MLOs (stress_granule, nucleolus) are inflated by literature volume, not by protein coverage, so the vocabulary's apparent coverage tracks research attention rather than annotation breadth","Aggregate PMIDs into a list per (protein, source_db, source_mlo) as the normalisation section already specifies; report annotation counts and evidence counts as separate columns"
